0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
五芳园,石景山,101112790753,309,49157元/平米,1993年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,低楼层 (共6层),62.86㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2021-08-28,已购公房,2017-01-17,普通住宅,满两年,非共有,无抵押,已上传房本照片
西革新里110号院,东城,101112798387,488,80943元/平米,1992年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共6层),60.29㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2021-08-28,已购公房,2011-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片
建新南区,顺义,101112828377,280,49734元/平米,1987年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共5层),56.3㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2021-08-31,已购公房,2007-02-12,普通住宅,满五年,非共有,无抵押,已上传房本照片
新康家园,亦庄开发区,101112834544,598,58651元/平米,2001年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室2厅1厨1卫,中楼层 (共7层),101.96㎡,平层,93.84㎡,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,无,2021-08-31,商品房,2004-06-17,普通住宅,满五年,非共有,无抵押,已上传房本照片
京贸国际城,通州,101112829512,530,57267元/平米,2011年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室1厅1厨1卫,高楼层 (共36层),92.55㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,2021-08-31,商品房,2016-09-08,普通住宅,满两年,非共有,无抵押,已上传房本照片
老山西里,石景山,101112855552,265,52663元/平米,1982年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共6层),50.32㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2021-09-02,已购公房,1997-11-10,普通住宅,满五年,非共有,无抵押,已上传房本照片
石榴园南里小区,丰台,101112806841,335,56011元/平米,2002年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,低楼层 (共6层),59.81㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,2021-08-29,商品房,2019-02-21,普通住宅,满两年,非共有,有抵押 180万元 客户偿还,已上传房本照片
碧桂园小区A区,房山,101112790888,248,26963元/平米,2003年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共6层),91.98㎡,平层,82.59㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,2021-08-28,商品房,2010-11-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
天通苑北三区,昌平,101112843473,446,38393元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨2卫,中楼层 (共7层),116.17㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,2021-09-01,商品房,2015-08-11,普通住宅,满五年,非共有,无抵押,已上传房本照片
松榆西里,朝阳,101112843402,565,61574元/平米,1994年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室1厅1厨1卫,底层 (共6层),91.76㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,2021-09-01,已购公房,2004-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片
金汉绿港四区,顺义,101112810730,640,38457元/平米,2009年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨2卫,中楼层 (共20层),166.42㎡,平层,137.22㎡,板楼,南 北,钢混结构,简装,两梯两户,集中供暖,有,2021-08-29,商品房,2011-05-06,普通住宅,满五年,共有,无抵押,已上传房本照片
松榆西里,朝阳,101112844184,550,60070元/平米,1994年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,底层 (共6层),91.56㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,2021-09-01,商品房,2000-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片
芭蕾雨悦都北区,房山,101112839143,345,41682元/平米,2011年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共9层),82.77㎡,平层,70.25㎡,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,有,2021-09-01,商品房,2013-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片
胜利小区,顺义,101112853142,245,37827元/平米,1991年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,底层 (共6层),64.77㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2021-09-02,商品房,2013-02-28,普通住宅,满五年,共有,无抵押,已上传房本照片
久敬佳园三区,丰台,101112841812,488,50129元/平米,2005年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室2厅1厨2卫,高楼层 (共6层),97.35㎡,平层,88.36㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2021-09-01,商品房,2015-12-24,普通住宅,满五年,非共有,有抵押 100万元 工商银行 业主自还,已上传房本照片
复兴路79号院,海淀,101112843238,624,94978元/平米,1990年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,底层 (共6层),65.7㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2021-09-01,央产房,2018-08-10,普通住宅,满两年,非共有,无抵押,已上传房本照片
鲁能7号院水岸公馆,顺义,101112849442,412,34174元/平米,2014年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨2卫,顶层 (共18层),120.56㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,自供暖,有,2021-09-01,商品房,2019-01-31,普通住宅,满两年,非共有,无抵押,已上传房本照片
国美第一城2号院,朝阳,101112846270,529,69368元/平米,2006年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室1厅1厨1卫,高楼层 (共27层),76.26㎡,平层,60.41㎡,板塔结合,东,钢混结构,精装,两梯五户,集中供暖,有,2021-09-01,商品房,2015-06-12,普通住宅,满五年,非共有,无抵押,已上传房本照片
安苑北里,朝阳,101112848790,570,81944元/平米,1990年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/塔楼,2室2厅1厨1卫,低楼层 (共25层),69.56㎡,平层,暂无数据,塔楼,东 南,钢混结构,精装,两梯八户,集中供暖,有,2021-09-01,商品房,2017-11-09,普通住宅,满两年,非共有,有抵押 67万元 徽商银行 业主自还,已上传房本照片
奥林匹克花园三期,朝阳,101112838768,698,63059元/平米,2008年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,低楼层 (共10层),110.69㎡,平层,93.79㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,2021-09-01,商品房,2014-11-26,普通住宅,满五年,非共有,有抵押 82万元,已上传房本照片
和光里,丰台,101112838761,649,55580元/平米,2005年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室1厅1厨2卫,低楼层 (共10层),116.77㎡,平层,100.02㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,有,2021-09-01,商品房,2005-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片
新城乐居,通州,101112831163,335,42475元/平米,2012年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,低楼层 (共25层),78.87㎡,平层,60.7㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2021-08-31,定向安置房,2015-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
知春路56号院,海淀,101112800326,950,123185元/平米,1992年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,3室1厅1厨1卫,高楼层 (共12层),77.12㎡,平层,60.82㎡,板塔结合,南 北,钢混结构,简装,两梯六户,集中供暖,有,2021-08-28,央产房,2006-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片
富东嘉园,朝阳,101112807698,470,51814元/平米,2007年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共6层),90.71㎡,平层,80.78㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,2021-08-29,商品房,2008-08-20,普通住宅,满五年,共有,有抵押 30万元 工商 业主自还,已上传房本照片
三虎桥南路12号院,海淀,101112805420,800,96039元/平米,1980年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室1厅1厨1卫,顶层 (共5层),83.3㎡,平层,暂无数据,板楼,东 南 北,混合结构,简装,一梯三户,集中供暖,无,2021-08-29,已购公房,2010-03-23,普通住宅,满五年,非共有,无抵押,已上传房本照片
万源南里,丰台,101112799742,368,46174元/平米,1988年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室1厅1厨1卫,高楼层 (共6层),79.7㎡,平层,54.8㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2021-08-28,央产房,2010-05-07,普通住宅,满五年,非共有,无抵押,已上传房本照片
珠江绿洲,朝阳,101112792731,635,53537元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/塔楼,3室1厅1厨2卫,低楼层 (共31层),118.61㎡,平层,95.62㎡,塔楼,西南,钢混结构,精装,三梯六户,集中供暖,有,2021-08-28,商品房,2012-02-23,普通住宅,满五年,非共有,无抵押,已上传房本照片
天之骄子,朝阳,101112814048,1280,86780元/平米,2006年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨2卫,中楼层 (共12层),147.5㎡,平层,121.9㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-08-29,商品房,2009-09-23,普通住宅,满五年,非共有,无抵押,已上传房本照片
西廊下胡同二号院,西城,101112804118,1350,120860元/平米,1954年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室1厅1厨2卫,中楼层 (共4层),111.7㎡,平层,暂无数据,板楼,东 西南,混合结构,简装,一梯三户,集中供暖,无,2021-08-29,已购公房,2004-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片
惠新北里,朝阳,101112831425,1080,86901元/平米,1997年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨1卫,低楼层 (共6层),124.28㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2021-08-31,已购公房,1999-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片
银枫家园,朝阳,101112792376,830,50420元/平米,2002年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,3室2厅1厨2卫,高楼层 (共26层),164.62㎡,平层,125.15㎡,板塔结合,西南,钢混结构,简装,三梯八户,自供暖,有,2021-08-28,商品房,2010-07-01,普通住宅,满五年,非共有,有抵押 140万元,已上传房本照片
西派国际公寓,西城,101112855459,2680,138616元/平米,2009年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,3室2厅1厨2卫,高楼层 (共17层),193.34㎡,平层,139.71㎡,板塔结合,东南 西,钢混结构,精装,四梯六户,集中供暖,有,2021-09-02,商品房,2010-09-19,普通住宅,满五年,非共有,无抵押,已上传房本照片
禧福汇,朝阳,101112837090,830,94760元/平米,2009年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室1厅1厨1卫,中楼层 (共20层),87.59㎡,平层,69.84㎡,板塔结合,西,钢混结构,精装,两梯四户,集中供暖,有,2021-09-01,商品房,2010-04-14,普通住宅,满五年,共有,无抵押,已上传房本照片
左家庄西街,朝阳,101112830971,386,65203元/平米,1995年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共8层),59.2㎡,平层,暂无数据,板楼,东,混合结构,精装,一梯三户,集中供暖,无,2021-08-31,已购公房,2019-02-18,普通住宅,满两年,非共有,无抵押,已上传房本照片
随园,昌平,101112835783,426,47801元/平米,2009年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室3厅1厨2卫,顶层 (共9层),89.12㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯四户,自供暖,有,2021-08-31,商品房,2011-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片
盛嘉华苑,大兴,101112795891,270,34857元/平米,2012年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室2厅1厨1卫,中楼层 (共15层),77.46㎡,平层,62.1㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,2021-08-28,限价商品房,2014-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片
福润四季B区,朝阳,101112803599,390,52328元/平米,2015年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,底层 (共15层),74.53㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯八户,集中供暖,有,2021-08-29,限价商品房,2016-08-25,普通住宅,满五年,非共有,无抵押,已上传房本照片
华业东方玫瑰A区,通州,101112793299,422,44170元/平米,2011年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,3室1厅1厨1卫,低楼层 (共28层),95.54㎡,平层,75.52㎡,板塔结合,东南 北,钢混结构,简装,两梯五户,集中供暖,有,2021-08-28,商品房,2014-04-23,普通住宅,满五年,非共有,无抵押,已上传房本照片
索家坟,海淀,101112830108,725,114174元/平米,1987年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/塔楼,2室1厅1厨1卫,低楼层 (共16层),63.5㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,2021-08-31,商品房,2011-11-02,普通住宅,满五年,非共有,有抵押 70万元 公积金 业主自还,已上传房本照片
华严北里1号院,朝阳,101112830231,1028,87999元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室2厅1厨1卫,高楼层 (共14层),116.82㎡,平层,96.95㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,2021-08-31,已购公房,2012-11-13,普通住宅,满五年,非共有,无抵押,已上传房本照片
天福园,朝阳,101112840918,563,106913元/平米,1994年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,高楼层 (共6层),52.66㎡,平层,暂无数据,板楼,西北,混合结构,精装,一梯十五户,集中供暖,无,2021-09-01,已购公房,2005-05-06,普通住宅,满五年,非共有,无抵押,已上传房本照片
彩虹城一区,丰台,101112801806,495,59718元/平米,2003年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室1厅1厨1卫,顶层 (共22层),82.89㎡,平层,暂无数据,板塔结合,东北,钢混结构,精装,两梯四户,集中供暖,有,2021-08-28,商品房,2014-11-21,普通住宅,满五年,非共有,有抵押 100万元 客户偿还,已上传房本照片
金融街融汇,大兴,101112843117,320,43349元/平米,2014年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室1厅1厨1卫,高楼层 (共26层),73.82㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2021-09-01,商品房,2016-07-29,普通住宅,满五年,非共有,无抵押,已上传房本照片
国瑞城中区,东城,101112853879,1180,128122元/平米,2006年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/塔楼,3室2厅1厨1卫,中楼层 (共13层),92.1㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,集中供暖,有,2021-09-02,二类经济适用房,2011-03-17,普通住宅,满五年,共有,无抵押,已上传房本照片
