City,HouseName,District,TotalPrice,Price,Floor,Square,ConstructionTime,Bedrooms,LivingRooms,Kitchens,Bathrooms,Type,Structure,Renovation,Elevator,Subway,TradeTime,DaysonMarket,Followers,Lng,Lat
Beijing, ,7,5400000.0,58888.0,High,91.7,2006,2.0,2.0,1,1,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,569,212,116.493655,39.905367
Beijing, ,4,1100000.0,27195.0,High,40.45,2002,1.0,1.0,1,1,Plate,Mixed,Simplicity,No,No,2016,507,52,116.297022,39.788637
Beijing, ,6,1700000.0,22078.0,Low,77.0,,2.0,2.0,1,1,Plate,Mixed,Other,No,No,2016,546,6,116.232365,40.235529
Beijing, ,7,3400000.0,64151.0,Middle,53.0,2011,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,516,76,116.4388,40.054941
Beijing, ,5,2450000.0,30625.0,Low,80.0,2012,2.0,2.0,1,1,Plate,Steel/Concrete,HardCover,Yes,Yes,2016,524,77,116.190634,39.768886
Beijing, ,8,6100000.0,103566.0,Middle,58.9,1989,2.0,2.0,1,1,Plate,Mixed,HardCover,No,Yes,2016,533,114,116.330345,39.984336
Beijing, ,6,2240000.0,19026.0,High,118.0,1998,2.0,2.0,1,2,Plate,Mixed,Simplicity,No,No,2016,507,27,116.254212,40.216336
Beijing, ,7,4350000.0,49505.0,Low,87.87,2011,2.0,2.0,1,1,Plate & Tower,Steel/Concrete,Other,Yes,No,2016,540,94,116.60292,39.909042
Beijing, ,2,4100000.0,53178.0,Middle,77.1,1991,3.0,3.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,544,47,116.324898,39.891441
Beijing, ,6,2400000.0,28784.0,Middle,83.38,2009,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,539,41,116.232119,40.223852
Beijing, ,13,4700000.0,32879.0,Low,142.95,2004,3.0,3.0,1,2,Plate,Mixed,HardCover,Yes,No,2016,530,61,116.683117,40.127185
Beijing, ,7,3550000.0,57677.0,Middle,61.55,2008,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,520,67,116.45831,39.923422
Beijing, ,6,1900000.0,31240.0,High,60.82,2004,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,494,59,116.422479,40.06389
Beijing, ,6,3210000.0,20523.0,High,156.41,2001,3.0,3.0,1,2,Plate,Steel/Concrete,HardCover,No,No,2016,526,41,116.254212,40.216336
Beijing, ,6,3500000.0,27853.0,Middle,125.66,2008,3.0,3.0,1,2,Plate,Steel/Concrete,Simplicity,Yes,No,2016,467,65,116.318694,40.087485
Beijing, ,5,1980000.0,20625.0,High,96.0,2004,3.0,3.0,1,1,Plate,Mixed,Simplicity,No,Yes,2016,503,64,116.164506,39.731851
Beijing, ,13,5000000.0,44147.0,Low,113.26,2012,3.0,3.0,1,2,Plate,Steel/Concrete,HardCover,Yes,No,2016,523,51,116.665923,40.186753
Beijing, ,8,6550000.0,43149.0,Low,151.8,1998,2.0,2.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,508,18,116.314388,39.972347
Beijing, ,10,11350000.0,61968.0,High,183.16,2003,4.0,4.0,1,2,Plate & Tower,Steel/Concrete,Other,Yes,Yes,2016,618,79,116.378537,39.879671
Beijing, ,8,2800000.0,67470.0,High,41.5,2009,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,Yes,2017,721,117,116.284755,39.93453
Beijing, ,6,3460000.0,34992.0,High,98.88,1998,4.0,4.0,1,2,Plate,Brick/Concrete,Simplicity,No,No,2016,470,110,116.413046,40.056407
Beijing, ,13,5300000.0,26100.0,High,203.07,1998,6.0,6.0,1,2,Plate,Steel/Concrete,HardCover,No,No,2017,659,81,116.559275,40.113935
Beijing, ,7,4060000.0,63577.0,Low,63.86,2007,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,451,43,116.474383,39.90218400000001
Beijing, ,10,6420000.0,89665.0,High,71.6,1993,2.0,2.0,1,1,Plate & Tower,Mixed,Other,Yes,No,2016,498,213,116.384103,39.972885
Beijing, ,3,1650000.0,29741.0,High,55.48,2009,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,459,266,116.497474,39.810115
Beijing, ,10,4000000.0,66879.0,High,59.81,2002,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,511,176,116.403304,39.891691
Beijing, ,6,2000000.0,41667.0,High,48.0,2009,1.0,1.0,1,1,Plate,Steel/Concrete,HardCover,Yes,No,2016,474,83,116.386555,40.0865
Beijing, ,2,2000000.0,48310.0,Low,41.4,1990,1.0,1.0,1,1,Plate,Mixed,Simplicity,No,No,2016,442,93,116.364028,39.870465
Beijing, ,7,8450000.0,43772.0,High,193.05,2003,4.0,4.0,1,3,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,438,64,116.461949,40.003018
Beijing, ,7,3000000.0,43809.0,Middle,68.48,1994,3.0,3.0,1,1,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,466,82,116.483319,39.915337
Beijing, ,7,2250000.0,40910.0,High,55.0,2005,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,No,2016,469,35,116.516087,39.923147
Beijing, ,13,3950000.0,44887.0,Low,88.0,2009,3.0,3.0,1,3,Plate,Brick/Concrete,Simplicity,No,No,2016,481,18,116.555729,40.162058
Beijing, ,7,3920000.0,83582.0,Middle,46.96,2003,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,622,110,116.444356,39.932936
Beijing, ,7,2000000.0,33406.0,High,59.87,1984,2.0,2.0,1,1,Plate,Mixed,HardCover,No,No,2016,456,80,116.517555,39.872965
Beijing, ,7,3000000.0,50092.0,Low,59.89,1992,2.0,2.0,1,1,Plate,Mixed,HardCover,No,Yes,2016,482,195,116.472165,39.903144
Beijing, ,7,5100000.0,75333.0,Middle,67.7,2009,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,513,93,116.471754,40.02946
Beijing, ,6,1020000.0,24286.0,High,42.0,1989,1.0,1.0,1,1,Plate,Mixed,Simplicity,No,Yes,2016,477,70,116.249496,40.221791
Beijing, ,2,2880000.0,41728.0,Low,69.02,2006,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,444,30,116.309431,39.842691
Beijing, ,4,4680000.0,22076.0,Low,212.0,2014,4.0,4.0,1,1,Plate,Steel/Concrete,Rough,Yes,Yes,2016,506,48,116.330357,39.692063
Beijing, ,1,4500000.0,59761.0,High,75.3,2006,2.0,2.0,1,1,Plate & Tower,Steel/Concrete,Rough,Yes,Yes,2016,466,88,116.43164,39.904426
Beijing, ,7,4750000.0,70381.0,Middle,67.49,2012,2.0,2.0,1,2,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,454,61,116.4388,40.054941
Beijing, ,7,2400000.0,40000.0,Middle,60.0,2010,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,421,65,116.457699,39.944441
Beijing, ,6,3600000.0,24507.0,Low,146.9,,3.0,3.0,1,2,Plate,Mixed,HardCover,No,No,2016,457,4,116.249496,40.221791
Beijing, ,7,2020000.0,39608.0,Middle,51.0,2011,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,598,162,116.425063,40.044097
Beijing, ,10,2400000.0,70589.0,High,34.0,2009,1.0,1.0,1,2,Plate,Steel/Concrete,HardCover,Yes,No,2016,430,136,116.334817,39.884391
Beijing, ,6,2650000.0,30566.0,High,86.7,1996,2.0,2.0,1,1,Plate,Brick/Concrete,HardCover,No,Yes,2016,509,33,116.22946,40.228274
Beijing, ,7,3550000.0,40909.0,Low,86.78,2011,2.0,2.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,443,44,116.509143,39.925387
Beijing, ,7,3890000.0,63771.0,Low,61.0,1985,2.0,2.0,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,545,62,116.474014,39.913424
Beijing, ,7,3000000.0,29127.0,High,103.0,1998,3.0,3.0,1,1,Plate,Mixed,HardCover,No,No,2017,629,172,116.606151,40.051276
Beijing, ,7,5090000.0,67678.0,High,75.21,1992,2.0,2.0,1,1,Plate,Steel/Concrete,HardCover,Yes,Yes,2016,495,92,116.399693,39.972072
Beijing, ,13,3400000.0,25000.0,High,136.0,2000,3.0,3.0,1,2,Plate,Mixed,Simplicity,No,Yes,2016,487,78,116.560389,40.09493300000001
Beijing, ,2,3070000.0,51167.0,Middle,60.0,1989,2.0,2.0,1,1,Plate,Mixed,Simplicity,No,No,2016,433,39,116.368804,39.873549
Beijing, ,5,1990000.0,22167.0,High,90.0,2010,2.0,2.0,1,1,Plate,Steel/Concrete,Rough,Yes,No,2016,446,15,116.154608,39.726495
Beijing, ,5,2100000.0,32377.0,High,65.0,2011,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,No,2016,511,264,116.16608,39.77107700000001
Beijing, ,10,9000000.0,56250.0,High,160.0,1999,5.0,5.0,1,2,Plate,Mixed,Other,No,Yes,2016,495,34,116.372222,39.880938
Beijing, ,7,2980000.0,35059.0,Low,85.0,2009,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,Other,Yes,Yes,2016,442,16,116.422211,40.011387
Beijing, ,7,2300000.0,25843.0,High,89.0,1992,3.0,3.0,1,1,Plate,Brick/Concrete,Other,No,No,2016,499,72,116.60503500000002,40.051164
Beijing, ,8,13880000.0,53799.0,High,258.0,1998,5.0,5.0,1,3,Plate,Mixed,HardCover,No,No,2016,492,33,116.317831,40.039
Beijing, ,6,2570000.0,23364.0,High,110.0,1996,2.0,2.0,1,1,Plate,Mixed,Other,No,No,2016,424,14,116.259318,40.217911
Beijing, ,5,2960000.0,27664.0,High,107.0,2003,3.0,3.0,1,1,Plate,Mixed,Simplicity,No,No,2016,503,19,116.227892,39.780755
Beijing, ,7,4700000.0,32794.0,Middle,143.32,,1.0,1.0,0,0,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,430,3,116.52387,39.92328300000001
Beijing, ,2,2080000.0,31288.0,High,66.48,2004,1.0,1.0,1,1,Plate,Mixed,Other,No,No,2016,423,29,116.238792,39.85288900000001
Beijing, ,7,6500000.0,49243.0,Low,132.0,1997,4.0,4.0,1,2,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,479,61,116.47773,40.002156
Beijing, ,3,1270000.0,26805.0,High,47.38,2008,1.0,1.0,0,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,468,96,116.508181,39.807662
Beijing, ,3,1450000.0,27272.0,High,53.17,2008,1.0,1.0,0,0,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,470,154,116.508181,39.807662
Beijing, ,7,2700000.0,51292.0,High,52.64,1979,2.0,2.0,1,1,Plate,Mixed,HardCover,No,Yes,2016,408,132,116.437251,39.962363
Beijing, ,8,3480000.0,58000.0,Low,60.0,1998,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,463,76,116.351677,39.980567
Beijing, ,2,2480000.0,45091.0,High,55.0,1990,2.0,2.0,1,1,Plate,Mixed,HardCover,No,No,2016,420,130,116.364028,39.870465
Beijing, ,7,4750000.0,34971.0,Low,135.83,1998,3.0,3.0,1,2,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,471,128,116.471203,39.876684
Beijing, ,5,1880000.0,21600.0,Middle,87.04,2004,2.0,2.0,1,1,Plate,Mixed,Simplicity,No,Yes,2016,457,129,116.164506,39.731851
Beijing, ,8,6100000.0,64956.0,Middle,93.91,2003,2.0,2.0,1,2,Plate,Steel/Concrete,HardCover,Yes,No,2016,399,63,116.268601,39.933567
Beijing, ,7,2100000.0,42000.0,High,50.0,2010,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,581,243,116.511545,39.904464
Beijing, ,4,2200000.0,30051.0,Middle,73.21,1992,2.0,2.0,1,1,Plate,Mixed,HardCover,No,Yes,2016,385,263,116.342088,39.749733
Beijing, ,9,2830000.0,44116.0,Middle,64.15,1981,2.0,2.0,1,1,Plate,Mixed,HardCover,No,Yes,2016,409,21,116.250662,39.910338
Beijing, ,5,2100000.0,22341.0,High,94.0,2005,2.0,2.0,1,1,Plate,Mixed,Other,No,No,2016,443,88,116.227892,39.780755
Beijing, ,8,5800000.0,46512.0,High,124.7,1998,3.0,3.0,1,1,Plate,Mixed,Simplicity,No,No,2016,400,80,116.28592,39.935122
Beijing, ,7,6770000.0,40759.0,Low,166.1,2002,3.0,3.0,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,No,2016,420,51,116.451239,39.960643
Beijing, ,12,1530000.0,24252.0,High,63.09,1990,2.0,2.0,1,1,Plate,Mixed,HardCover,No,No,2016,455,114,116.117019,39.93386
Beijing, ,7,3450000.0,56651.0,Low,60.9,1976,2.0,2.0,1,1,Plate,Mixed,Simplicity,No,Yes,2016,400,24,116.456102,39.931183
Beijing, ,1,11200000.0,77242.0,Middle,145.0,2004,3.0,3.0,1,2,Plate,Steel/Concrete,Simplicity,Yes,Yes,2016,383,51,116.4471,39.879796
Beijing, ,12,2510000.0,25464.0,High,98.77,2001,3.0,3.0,1,1,Plate,Mixed,Simplicity,No,No,2016,424,80,116.122354,39.937384
Beijing, ,12,4600000.0,27480.0,High,167.4,2005,4.0,4.0,1,2,Plate,Mixed,HardCover,No,No,2016,484,32,116.117724,39.941152
Beijing, ,6,1900000.0,20041.0,Middle,94.81,1996,2.0,2.0,1,1,Plate,Mixed,Simplicity,No,No,2016,420,6,116.231747,40.230104
Beijing, ,12,3800000.0,22755.0,High,167.0,2004,4.0,4.0,1,2,Plate,Mixed,Simplicity,No,No,2016,480,46,116.119651,39.934504
Beijing, ,12,3650000.0,25000.0,Middle,146.0,2000,4.0,4.0,1,2,Plate,Mixed,Simplicity,No,No,2016,437,59,116.122354,39.937384
Beijing, ,12,1460000.0,28505.0,Low,51.22,2008,1.0,1.0,1,1,Plate,Steel/Concrete,Simplicity,Yes,No,2016,420,16,116.122491,39.939735
Beijing, ,12,2850000.0,30685.0,Middle,92.88,2006,2.0,2.0,1,1,Plate,Steel/Concrete,HardCover,Yes,No,2016,427,12,116.118409,39.937888
Beijing, ,12,1380000.0,21403.0,High,64.9,1989,2.0,2.0,1,1,Plate,Mixed,Simplicity,No,No,2016,414,39,116.117019,39.93386
Beijing, ,4,2600000.0,15991.0,High,162.6,1999,3.0,3.0,1,2,Plate,Mixed,Simplicity,No,No,2016,377,52,116.293654,39.79232
Beijing, ,7,8300000.0,47939.0,Middle,173.14,2002,4.0,4.0,1,2,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,435,61,116.48154,39.918388
Beijing, ,6,1320000.0,28606.0,High,46.39,1982,2.0,2.0,1,1,Tower,Brick/Concrete,Simplicity,No,Yes,2016,396,11,116.24553799999998,40.220033
Beijing, ,7,4020000.0,70738.0,Low,56.83,1997,2.0,2.0,1,1,Plate,Mixed,HardCover,No,Yes,2016,375,225,116.482231,40.009521
Beijing, ,6,2250000.0,44768.0,Low,50.26,2004,1.0,1.0,0,1,Plate,Steel/Concrete,Simplicity,Yes,Yes,2016,478,40,116.34296299999998,40.093175
Beijing, ,9,3910000.0,39692.0,Middle,98.51,1996,3.0,3.0,1,1,Plate,Mixed,Simplicity,No,No,2017,637,198,116.199293,39.938056
Beijing, ,6,1090000.0,19758.0,Low,55.17,2008,1.0,1.0,0,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,435,33,116.421128,40.068301
Beijing, ,2,4050000.0,56787.0,Low,71.32,2008,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,No,2016,400,38,116.345863,39.877035
Beijing, ,6,7000000.0,29615.0,High,236.37,2008,6.0,6.0,1,4,Plate,Steel/Concrete,Simplicity,Yes,No,2016,470,38,116.432684,40.077562
Beijing, ,13,3300000.0,16337.0,High,202.0,2000,4.0,4.0,1,2,Plate,Mixed,Simplicity,No,No,2016,445,76,116.661432,40.180564
Beijing, ,7,9900000.0,65637.0,Low,150.83,2005,2.0,2.0,1,2,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,419,13,116.49138,39.938386
Beijing, ,13,2580000.0,28709.0,Middle,89.87,2008,2.0,2.0,1,1,Plate,Steel/Concrete,Simplicity,Yes,No,2016,406,41,116.67391200000002,40.209832
Beijing, ,5,2700000.0,30034.0,High,89.9,2012,3.0,3.0,1,1,Plate,Steel/Concrete,Simplicity,Yes,No,2016,405,34,116.225111,39.761305
Beijing, ,10,4420000.0,76617.0,Middle,57.69,1979,2.0,2.0,1,1,Plate,Steel/Concrete,Simplicity,Yes,Yes,2016,420,85,116.371787,39.905909
Beijing, ,6,2950000.0,25000.0,High,118.0,2002,3.0,3.0,1,1,Plate,Mixed,Other,No,Yes,2016,473,40,116.225476,40.226443
Beijing, ,6,5260000.0,37287.0,Middle,141.07,2005,3.0,3.0,1,2,Plate,Steel/Concrete,Simplicity,Yes,Yes,2016,404,22,116.333765,40.07892
Beijing, ,4,6200000.0,28031.0,Low,221.19,2009,4.0,4.0,1,2,Plate,Steel/Concrete,Other,No,No,2016,373,22,116.529485,39.830024
Beijing, ,6,3280000.0,26356.0,High,124.45,2001,3.0,3.0,1,1,Plate,Mixed,Rough,No,No,2016,408,10,116.445996,40.069568
Beijing, ,6,4100000.0,27947.0,Middle,146.71,2003,3.0,3.0,1,2,Plate,Mixed,HardCover,No,Yes,2016,410,53,116.3434,40.083322
Beijing, ,8,10130000.0,69006.0,High,146.8,2006,2.0,2.0,1,2,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,452,104,116.305898,39.926084
Beijing, ,7,2200000.0,46271.0,High,47.59,1994,1.0,1.0,1,1,Plate,Mixed,Other,No,Yes,2016,368,1,116.454043,39.903712
Beijing, ,6,5750000.0,47521.0,Low,121.0,2004,3.0,3.0,1,2,Plate,Brick/Concrete,HardCover,No,No,2016,455,110,116.410182,40.051959
Beijing, ,2,6350000.0,32743.0,High,193.94,2001,3.0,3.0,1,2,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,422,53,116.296286,39.870107
Beijing, ,13,580000.0,17576.0,Middle,33.0,2014,1.0,1.0,1,1,Plate,Steel/Concrete,Other,Yes,No,2016,390,25,116.665923,40.186753
Beijing, ,6,1060000.0,20834.0,High,51.12,2008,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,389,8,116.421128,40.068301
Beijing, ,1,4700000.0,42708.0,Low,110.05,2006,2.0,2.0,1,2,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,398,37,116.444857,39.954789
Beijing, ,7,2050000.0,34207.0,High,59.93,2009,1.0,1.0,1,1,Plate,Mixed,Simplicity,No,No,2016,406,87,116.564416,39.909334
Beijing, ,6,5800000.0,20579.0,Low,281.85,,5.0,5.0,1,3,Plate,Mixed,Simplicity,No,No,2016,487,52,116.430012,40.066244
Beijing, ,2,8400000.0,56900.0,Low,147.63,2001,3.0,3.0,1,2,Tower,Steel/Concrete,Simplicity,Yes,Yes,2017,651,93,116.308505,39.839489
Beijing, ,7,3300000.0,29483.0,High,111.93,,3.0,3.0,1,1,Plate,Mixed,Rough,No,Yes,2016,392,222,116.520858,39.918846
Beijing, ,8,3540000.0,56191.0,Low,63.0,2010,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,453,30,116.345466,40.008394
Beijing, ,12,1890000.0,23464.0,High,80.55,2000,2.0,2.0,1,2,Plate,Mixed,Simplicity,No,No,2016,349,54,116.122354,39.937384
Beijing, ,7,18900000.0,60823.0,Middle,310.74,2010,4.0,4.0,1,3,Plate,Steel/Concrete,HardCover,No,No,2016,391,26,116.5038376,39.9307251
Beijing, ,1,2460000.0,46567.0,Middle,53.0,1975,2.0,2.0,1,1,Plate,Mixed,Simplicity,No,No,2016,409,310,116.418443,39.866651
Beijing, ,1,10200000.0,82259.0,Middle,124.0,2005,3.0,3.0,1,2,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,392,60,116.437705,39.898038
Beijing, ,2,1810000.0,36200.0,Middle,50.0,1990,1.0,1.0,1,1,Plate,Mixed,Simplicity,No,No,2016,386,55,116.387363,39.864499
Beijing, ,1,22000000.0,72132.0,Low,305.0,2008,3.0,3.0,1,3,Tower,Steel/Concrete,HardCover,Yes,Yes,2017,548,56,116.434166,39.948115
Beijing, ,7,2000000.0,46083.0,Low,43.4,1983,1.0,1.0,1,1,Plate,Brick/Concrete,Other,No,Yes,2016,352,31,116.491073,39.936639
Beijing, ,2,4900000.0,45371.0,Middle,108.0,2006,3.0,3.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,413,106,116.388163,39.841127
Beijing, ,7,4500000.0,69231.0,Middle,65.0,1986,2.0,2.0,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,419,185,116.404579,39.978491
Beijing, ,6,1770000.0,18870.0,High,93.8,2014,2.0,2.0,1,1,Plate,Steel/Concrete,Simplicity,No,No,2016,431,223,116.242531,40.201675
