0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
法政路,越秀,108402603466,900,75586元/平米,未知年建/板楼,4室2厅1厨2卫,高楼层 (共7层),119.07㎡,平层,107.58㎡,板楼,北 东南,钢混结构,精装,一梯两户,有,2021-08-28,商品房,2010-06-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
光塔路,越秀,108402333209,165,40903元/平米,1990年建/塔楼,3室1厅1厨2卫,中楼层 (共8层),40.34㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,一梯七户,无,2021-06-08,商品房,2017-08-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
黄石花园,白云,108402612099,162,23849元/平米,1997年建/塔楼,2室1厅1厨1卫,低楼层 (共8层),67.93㎡,平层,暂无数据,塔楼,南,钢混结构,简装,一梯三户,无,2021-08-31,商品房,2011-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
金山谷尚层,番禺,108402602140,760,42805元/平米,未知年建/板楼,4室2厅1厨2卫,中楼层 (共32层),177.55㎡,平层,暂无数据,板楼,南,钢混结构,精装,十二梯两户,有,2021-08-28,商品房,2018-02-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
江南西路,海珠,108402605313,163,34704元/平米,未知年建/板楼,2室1厅1厨1卫,中楼层 (共7层),46.97㎡,平层,42.44㎡,板楼,南,钢混结构,简装,一梯两户,无,2021-08-29,商品房,2015-07-24,普通住宅,满五年,非共有,有抵押 30万元 中国银行 业主自还,已上传房本照片,,,
金沙路,海珠,108402608299,240,27587元/平米,未知年建/板楼,3室2厅1厨1卫,中楼层 (共8层),87㎡,平层,暂无数据,板楼,东南,钢混结构,简装,一梯两户,无,2021-08-30,商品房,2009-05-08,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
景泰名苑,白云,108402610699,245,32706元/平米,2001年建/塔楼,2室1厅1厨1卫,中楼层 (共10层),74.91㎡,平层,64.82㎡,塔楼,北,钢混结构,简装,一梯八户,有,2021-08-31,商品房,2010-05-11,普通住宅,满五年,共有,有抵押 5万元 业主自还,已上传房本照片,,,
祥港花园,白云,108402611044,220,23134元/平米,1994年建/塔楼,2室2厅1厨2卫,高楼层 (共7层),95.1㎡,平层,暂无数据,塔楼,东,钢混结构,精装,一梯两户,无,2021-08-31,商品房,1992-01-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
金钟横路,白云,108402609985,263,28396元/平米,2000年建/板楼,3室1厅1厨1卫,中楼层 (共8层),92.62㎡,平层,78.64㎡,板楼,南 北,钢混结构,简装,一梯两户,有,2021-08-30,商品房,2012-11-13,普通住宅,满五年,非共有,有抵押 15万元,已上传房本照片,,,
金宇花园,荔湾,108402601842,160,22217元/平米,1998年建/塔楼,2室1厅1厨1卫,高楼层 (共9层),72.02㎡,平层,65.01㎡,塔楼,南,钢混结构,精装,一梯四户,无,2021-08-28,商品房,2014-05-07,普通住宅,满五年,非共有,有抵押 40万元 中国工商银行 业主自还,已上传房本照片,,,
恒达苑,天河,108402598156,850,94131元/平米,1998年建/塔楼,3室2厅1厨1卫,中楼层 (共9层),90.3㎡,平层,暂无数据,塔楼,东,钢混结构,精装,一梯四户,有,2021-08-27,商品房,2010-07-06,普通住宅,满五年,共有,有抵押 20万元,已上传房本照片,,,
新文街小区,增城,108402607698,51,7193元/平米,未知年建/暂无数据,2室1厅1厨1卫,高楼层 (共7层),70.91㎡,平层,65.42㎡,暂无数据,北,钢混结构,简装,一梯一户,暂无数据,2021-08-30,房改房,2014-03-13,普通住宅,满五年,非共有,有抵押 12万元 客户偿还,已上传房本照片,,,
雅宝新城亚瑟公馆,花都,108402617278,240,15959元/平米,2012年建/塔楼,3室2厅1厨2卫,中楼层 (共19层),150.39㎡,平层,129.01㎡,塔楼,南,钢混结构,毛坯,两梯五户,有,2021-09-01,商品房,2011-04-11,普通住宅,满五年,共有,有抵押 30万元 农业银行 客户偿还,已上传房本照片,,,
翡翠小区,花都,108402601963,139,13900元/平米,2001年建/塔楼,3室2厅1厨1卫,中楼层 (共10层),100㎡,平层,暂无数据,塔楼,北,钢混结构,简装,一梯八户,无,2021-08-28,商品房,2001-12-01,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
天马丽苑二期,花都,108402617927,160,16887元/平米,2007年建/塔楼,3室2厅1厨1卫,低楼层 (共33层),94.75㎡,平层,暂无数据,塔楼,北,钢混结构,简装,两梯四户,有,2021-09-01,商品房,2015-04-02,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片,,,
水荫横路,天河,108402611985,280,35506元/平米,未知年建/塔楼,2室1厅1厨1卫,高楼层 (共9层),78.86㎡,平层,70.01㎡,塔楼,南,钢混结构,简装,一梯六户,无,2021-08-31,商品房,1996-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
又一居花园,白云,108402608037,350,36428元/平米,1998年建/塔楼,3室2厅1厨2卫,低楼层 (共9层),96.08㎡,平层,暂无数据,塔楼,东,钢混结构,精装,一梯四户,有,2021-08-30,商品房,2017-04-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
亚运城媒体北村,番禺,108402611427,216,29777元/平米,未知年建/平房,2室2厅1厨1卫,低楼层 (共18层),72.54㎡,平层,56.1㎡,平房,北,钢混结构,精装,一梯四户,有,2021-08-31,商品房,2012-11-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
云山锦绣家园,白云,108402615607,590,53833元/平米,2007年建/塔楼,3室2厅1厨1卫,低楼层 (共12层),109.6㎡,平层,92.8㎡,塔楼,南 北,钢混结构,简装,两梯五户,有,2021-09-01,商品房,2017-02-06,普通住宅,满两年,非共有,有抵押 150万元 工行 客户偿还,已上传房本照片,,,
南村路,海珠,108402601042,172,28691元/平米,1990年建/板楼,3室1厅1厨1卫,高楼层 (共7层),59.95㎡,平层,暂无数据,板楼,东南,混合结构,精装,一梯两户,无,2021-08-28,商品房,2019-03-18,普通住宅,满两年,非共有,有抵押 110万元,已上传房本照片,,,
又一居花园,白云,108402608367,445,38376元/平米,2001年建/塔楼,3室1厅1厨2卫,高楼层 (共15层),115.96㎡,平层,暂无数据,塔楼,北 东,钢混结构,简装,两梯八户,有,2021-08-30,商品房,2016-08-30,普通住宅,满五年,共有,有抵押 270万元 客户偿还,已上传房本照片,,,
南华东路,海珠,108402616242,138,32019元/平米,未知年建/板楼,2室1厅1厨1卫,高楼层 (共8层),43.1㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯四户,无,2021-09-01,商品房,2009-01-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
富泽园,海珠,108402603471,400,52604元/平米,2001年建/塔楼,2室1厅1厨1卫,低楼层 (共16层),76.04㎡,平层,64.25㎡,塔楼,东南,钢混结构,精装,两梯九户,有,2021-08-28,商品房,1999-09-22,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
星河山海湾,南沙,108402601427,308,34580元/平米,未知年建/塔楼,3室1厅1厨1卫,高楼层 (共33层),89.07㎡,平层,70.77㎡,塔楼,南,钢混结构,毛坯,两梯五户,有,2021-08-28,商品房,2016-11-21,普通住宅,满两年,非共有,有抵押 70万元,已上传房本照片,,,
米兰苑,海珠,108402604270,408,48256元/平米,1998年建/塔楼,3室1厅1厨1卫,低楼层 (共9层),84.55㎡,平层,76.73㎡,塔楼,东南 南,钢混结构,简装,一梯三户,有,2021-08-29,商品房,2010-03-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
敏捷锦绣天伦,增城,108402619966,199,22033元/平米,2013年建/塔楼,3室1厅1厨1卫,低楼层 (共32层),90.32㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,两梯六户,有,2021-09-02,商品房,2016-08-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
凤凰新村,海珠,108402611206,168,31711元/平米,1990年建/塔楼,2室1厅1厨1卫,中楼层 (共6层),52.98㎡,平层,47.87㎡,塔楼,南 北,混合结构,精装,一梯三户,无,2021-08-31,商品房,2001-09-11,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
桂花岗,越秀,108402609021,168,25199元/平米,未知年建/塔楼,2室1厅1厨1卫,高楼层 (共9层),66.67㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,一梯两户,无,2021-08-30,商品房,2013-08-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
万丰花园,海珠,108402614617,450,51904元/平米,1999年建/塔楼,2室1厅1厨1卫,中楼层 (共26层),86.7㎡,平层,暂无数据,塔楼,西,钢混结构,精装,两梯五户,有,2021-09-01,商品房,1999-02-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
东景华庭,增城,108402600637,180,21682元/平米,2012年建/塔楼,2室1厅1厨1卫,中楼层 (共11层),83.02㎡,平层,64.56㎡,塔楼,西,钢混结构,精装,两梯六户,有,2021-08-28,商品房,2014-04-23,普通住宅,满五年,共有,有抵押 45万元,已上传房本照片,,,
百事佳新村A区,白云,108402618496,260,35578元/平米,2006年建/塔楼,3室2厅1厨1卫,低楼层 (共9层),73.08㎡,平层,暂无数据,塔楼,北,钢混结构,精装,一梯四户,无,2021-09-01,商品房,2009-04-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
下塘西路,越秀,108402603773,320,43396元/平米,未知年建/塔楼,2室1厅1厨1卫,低楼层 (共9层),73.74㎡,平层,73㎡,塔楼,西,钢混结构,精装,一梯四户,有,2021-08-29,商品房,2009-05-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
海天大厦,海珠,108402602102,430,36196元/平米,1999年建/塔楼,3室1厅1厨1卫,低楼层 (共33层),118.8㎡,平层,89.94㎡,塔楼,东北,钢混结构,简装,六梯十六户,有,2021-08-28,商品房,2019-01-05,普通住宅,满两年,非共有,有抵押 320万元,已上传房本照片,,,
乐居苑,海珠,108402608996,195,34447元/平米,1998年建/塔楼,2室1厅1厨1卫,低楼层 (共9层),56.61㎡,平层,50.21㎡,塔楼,南 西南,钢混结构,精装,一梯八户,无,2021-08-30,商品房,2015-05-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
碧桂园豪进左岸,增城,108402604335,140,13651元/平米,2018年建/塔楼,3室1厅1厨2卫,低楼层 (共31层),102.56㎡,平层,83.21㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,2021-08-29,商品房,2019-07-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
丽景华苑一期,番禺,108402617625,208,20830元/平米,2004年建/塔楼,3室1厅1厨2卫,中楼层 (共6层),99.86㎡,平层,89.23㎡,塔楼,东南 西,钢混结构,其他,一梯四户,无,2021-09-01,商品房,2005-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
龙湾贰号,荔湾,108402602968,318,35864元/平米,1996年建/塔楼,3室1厅1厨1卫,中楼层 (共23层),88.67㎡,平层,71㎡,塔楼,东北,钢混结构,精装,两梯八户,有,2021-08-28,商品房,2016-11-02,普通住宅,满两年,非共有,有抵押 20万元 邮政银行 业主自还,已上传房本照片,,,
枫溪苑,白云,108402611390,155,29463元/平米,1999年建/塔楼,2室1厅1厨1卫,中楼层 (共9层),52.61㎡,平层,45.02㎡,塔楼,北,钢混结构,其他,一梯六户,无,2021-08-31,商品房,2003-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
倚莲半岛花园,番禺,108402544789,565,18861元/平米,2001年建/塔楼,6室3厅1厨4卫,中楼层 (共14层),299.56㎡,复式,258.47㎡,塔楼,南,钢混结构,毛坯,一梯两户,有,2021-08-11,商品房,2016-10-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
锦绣新天地,增城,108402576550,190,21189元/平米,2012年建/塔楼,3室2厅1厨1卫,中楼层 (共13层),89.67㎡,平层,73.18㎡,塔楼,南,钢混结构,精装,两梯四户,有,2021-08-21,商品房,2014-01-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
碧桂园凤凰城凤馨苑,增城,108402576138,166,17552元/平米,2002年建/塔楼,3室2厅1厨2卫,中楼层 (共6层),94.58㎡,平层,暂无数据,塔楼,北,钢混结构,简装,一梯四户,无,2021-08-21,商品房,2018-11-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
碧桂园豪进广场,增城,108402580478,265,25826元/平米,2016年建/塔楼,3室1厅1厨1卫,中楼层 (共30层),102.61㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,2021-08-22,商品房,2017-06-28,普通住宅,满两年,共有,有抵押 30万元 中信银行 客户偿还,已上传房本照片,,,
亚太新城富丽园,增城,108402595853,129,15592元/平米,未知年建/塔楼,2室1厅1厨1卫,中楼层 (共7层),82.74㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯两户,无,2021-08-26,商品房,2013-08-15,普通住宅,满五年,非共有,有抵押 30万元 客户偿还,已上传房本照片,,,
锦绣新天地,增城,108402590382,162,18047元/平米,2011年建/塔楼,3室1厅1厨1卫,高楼层 (共16层),89.77㎡,平层,74.13㎡,塔楼,东南,钢混结构,简装,两梯六户,有,2021-08-25,商品房,2013-12-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
人盛巴厘天地,从化,108402584757,95,8963元/平米,未知年建/塔楼,3室2厅1厨2卫,高楼层 (共9层),106㎡,平层,暂无数据,塔楼,北,钢混结构,毛坯,两梯四户,有,2021-08-23,商品房,2017-04-10,普通住宅,满两年,非共有,有抵押 90万元 工商银行 业主自还,已上传房本照片,,,
骏逸湖畔花苑,从化,108402582436,115,8952元/平米,2017年建/塔楼,3室2厅1厨2卫,中楼层 (共16层),128.47㎡,平层,108㎡,塔楼,南 北,钢混结构,毛坯,一梯四户,有,2021-08-22,商品房,2018-12-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
顺兴花园,增城,108402597550,133,9868元/平米,2008年建/塔楼,3室1厅1厨2卫,中楼层 (共9层),134.79㎡,平层,105.34㎡,塔楼,东,钢混结构,精装,一梯四户,有,2021-08-27,商品房,2018-08-07,普通住宅,满两年,非共有,有抵押 40万元,已上传房本照片,,,
新塘新世界花园万象苑,增城,108402616313,255,26663元/平米,2012年建/塔楼,3室1厅1厨1卫,高楼层 (共18层),95.64㎡,平层,79.67㎡,塔楼,东南,钢混结构,精装,两梯六户,有,2021-09-01,商品房,2004-04-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
碧桂园凤凰城凤馨苑,增城,108402602478,196,20178元/平米,2002年建/塔楼,3室1厅1厨2卫,高楼层 (共18层),97.14㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯四户,有,2021-08-28,商品房,2011-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
信和广场,海珠,108402575709,395,48031元/平米,2001年建/塔楼,2室1厅1厨1卫,高楼层 (共17层),82.24㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯七户,有,2021-08-20,商品房,2013-08-21,普通住宅,满五年,共有,有抵押 120万元 农业银行 业主自还,已上传房本照片,,,
庄士映蝶蓝湾,番禺,108402593304,339,16177元/平米,未知年建/塔楼,5室2厅0厨2卫,低楼层 (共14层),209.56㎡,平层,167.18㎡,塔楼,南 北,钢混结构,精装,两梯两户,有,2021-08-25,商品房,2015-03-19,普通住宅,满五年,非共有,有抵押 42万元 中国银行 业主自还,已上传房本照片,,,
佳兆业君汇上品,海珠,108402596397,760,71322元/平米,2013年建/塔楼,3室2厅1厨2卫,高楼层 (共30层),106.56㎡,平层,86.92㎡,塔楼,西南,钢混结构,精装,两梯五户,有,2021-08-26,商品房,2014-06-10,普通住宅,满五年,非共有,有抵押 5万元 5,已上传房本照片,,,
南华时代城,花都,108402593527,214,19343元/平米,未知年建/板塔结合,3室2厅1厨2卫,中楼层 (共31层),110.64㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯六户,有,2021-08-25,商品房,2018-08-30,普通住宅,满两年,共有,无抵押,已上传房本照片,,,
庄士映蝶蓝湾,番禺,108402590690,320,22931元/平米,未知年建/塔楼,4室1厅1厨2卫,高楼层 (共17层),139.55㎡,平层,114.62㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,2021-08-25,商品房,2016-08-10,普通住宅,满五年,共有,有抵押 80万元,已上传房本照片,,,
君华江畔豪园,海珠,108402592769,1150,90267元/平米,2012年建/塔楼,3室1厅1厨2卫,高楼层 (共17层),127.4㎡,平层,暂无数据,塔楼,北,钢混结构,精装,一梯两户,有,2021-08-25,商品房,2013-09-25,普通住宅,满五年,非共有,有抵押 690万元 客户偿还,已上传房本照片,,,
南华时代城,花都,108402608759,277,19975元/平米,2010年建/塔楼,4室2厅1厨2卫,低楼层 (共29层),138.68㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯四户,有,2021-08-30,商品房,2021-08-30,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,
豪进山湖珺璟,增城,108402549559,215,27984元/平米,2013年建/塔楼,2室2厅1厨1卫,中楼层 (共33层),76.83㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,2021-08-13,商品房,2017-06-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
锦绣新天地,增城,108402531746,188.5,16775元/平米,2011年建/塔楼,3室2厅1厨2卫,低楼层 (共26层),112.37㎡,平层,85.51㎡,塔楼,南,钢混结构,简装,两梯三户,有,2021-08-08,商品房,2011-01-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
城市家园二期,增城,108402532891,142.8,14771元/平米,2007年建/塔楼,2室1厅1厨1卫,中楼层 (共28层),96.68㎡,平层,96.68㎡,塔楼,南,钢混结构,简装,四梯十五户,有,2021-08-08,商品房,2016-05-20,普通住宅,满五年,非共有,有抵押 47万元,已上传房本照片,,,
海珠中路,越秀,108402562528,199,37017元/平米,1995年建/塔楼,3室1厅1厨1卫,高楼层 (共9层),53.76㎡,平层,暂无数据,塔楼,东,钢混结构,精装,一梯四户,无,2021-08-17,商品房,2007-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
新都盛世名门宏城汇,增城,108402569045,91,24516元/平米,2012年建/塔楼,1室1厅1厨2卫,低楼层 (共15层),37.12㎡,复式,27.25㎡,塔楼,北,钢混结构,精装,三梯十八户,有,2021-08-18,商品房,2018-10-11,普通住宅,满两年,非共有,有抵押 49万元 农行 客户偿还,已上传房本照片,,,
嘉骏豪苑,增城,108402564764,135,15224元/平米,2008年建/塔楼,2室1厅1厨2卫,低楼层 (共19层),88.68㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯五户,有,2021-08-17,商品房,2016-05-05,普通住宅,满五年,非共有,有抵押 41万元 业主自还,已上传房本照片,,,
敏捷锦绣天伦,增城,108402529333,159,21055元/平米,2016年建/塔楼,2室1厅1厨1卫,中楼层 (共32层),75.52㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯八户,有,2021-08-07,商品房,2016-01-15,普通住宅,满五年,非共有,有抵押 30万元 公积金 业主自还,已上传房本照片,,,
岭秀苑,增城,108402563929,133.8,13244元/平米,2008年建/塔楼,3室1厅1厨1卫,低楼层 (共15层),101.03㎡,平层,81.83㎡,塔楼,北,钢混结构,精装,两梯四户,有,2021-08-17,商品房,2009-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
